"","id","effect","type","model"
"689",1,1.84493026193404,"T","rcs"
"690",2,1.84453445234763,"T","rcs"
"691",3,1.84565476197349,"T","rcs"
"692",4,1.8444945247596,"T","rcs"
"693",5,1.89723287940259,"T","rcs"
"694",6,1.89809650969288,"T","rcs"
"695",7,1.82641516247299,"T","rcs"
"696",8,1.82804879227855,"T","rcs"
"697",9,1.82824902476923,"T","rcs"
"698",10,1.82797688817878,"T","rcs"
"699",11,1.826298342074,"T","rcs"
"700",12,1.82545514600141,"T","rcs"
"701",13,1.82401580997519,"T","rcs"
"702",14,1.82332005763108,"T","rcs"
"703",15,1.82231809152117,"T","rcs"
"704",16,1.8221591417064,"T","rcs"
"705",17,1.82109909182834,"T","rcs"
"706",18,1.82069547899428,"T","rcs"
"707",19,1.8196519309112,"T","rcs"
"708",20,1.81972971718763,"T","rcs"
"709",21,1.818413489786,"T","rcs"
"710",22,1.81831344720131,"T","rcs"
"711",23,1.81852946515863,"T","rcs"
"712",24,1.81783281616507,"T","rcs"
"713",25,1.81674756345772,"T","rcs"
"714",26,1.81684239126464,"T","rcs"
"715",27,1.67942340750853,"T","rcs"
"716",28,1.68091571440338,"T","rcs"
"717",29,1.68067821338973,"T","rcs"
"718",30,1.68010621279162,"T","rcs"
"719",31,1.59562310465714,"T","rcs"
"720",32,1.59635014695983,"T","rcs"
"721",33,1.59629412240932,"T","rcs"
"722",34,1.59657727015295,"T","rcs"
"723",35,1.59556211323141,"T","rcs"
"724",36,1.59426776800472,"T","rcs"
"725",37,1.59255072330331,"T","rcs"
"726",38,1.59254596320152,"T","rcs"
"727",39,1.59177492133516,"T","rcs"
"728",40,1.59180389680439,"T","rcs"
"729",41,1.59086191758362,"T","rcs"
"730",42,1.50916477966214,"T","rcs"
"731",43,1.50978147943186,"T","rcs"
"732",44,1.50991062751173,"T","rcs"
"733",45,1.50970890551082,"T","rcs"
"734",46,1.51025030721668,"T","rcs"
"735",47,1.44954349496433,"T","rcs"
"736",48,1.45033709886737,"T","rcs"
"737",49,1.45092409513373,"T","rcs"
"738",50,1.4208662695892,"T","rcs"
"739",51,1.42742392947412,"T","rcs"
"740",52,1.42694035630255,"T","rcs"
"741",53,1.42706960789496,"T","rcs"
"742",54,1.42695050281882,"T","rcs"
"743",55,1.42513757779628,"T","rcs"
"744",56,1.42438235133692,"T","rcs"
"745",57,1.37291781493268,"T","rcs"
"746",58,1.37355431972862,"T","rcs"
"747",59,1.37326440686482,"T","rcs"
"748",60,1.37263355180839,"T","rcs"
"749",61,1.35525773422295,"T","rcs"
"750",62,1.35607847643639,"T","rcs"
"751",63,1.35633478247997,"T","rcs"
"752",64,1.35653080318963,"T","rcs"
"753",65,1.35613300581106,"T","rcs"
"754",66,1.35608823722607,"T","rcs"
"755",67,1.35493794584795,"T","rcs"
"756",68,1.35470042361505,"T","rcs"
"757",69,1.35475964564199,"T","rcs"
"758",70,1.35451817342862,"T","rcs"
"759",71,1.35343587904536,"T","rcs"
"760",72,1.35321594297614,"T","rcs"
"761",73,1.35284873799152,"T","rcs"
"762",74,1.35210031456859,"T","rcs"
"763",75,1.35125230167557,"T","rcs"
"764",76,1.36447262707809,"T","rcs"
"765",77,1.33413582307401,"T","rcs"
"766",78,1.33388070366797,"T","rcs"
"767",79,1.32367793569551,"T","rcs"
"768",80,1.3236055192388,"T","rcs"
"769",81,1.32334323411163,"T","rcs"
"770",82,1.32363811551237,"T","rcs"
"771",83,1.32442012712944,"T","rcs"
"772",84,1.32397600975692,"T","rcs"
"773",85,1.32347591250043,"T","rcs"
"774",86,1.32266075974256,"T","rcs"
"775",87,1.32188228796094,"T","rcs"
"776",88,1.32197513290993,"T","rcs"
"777",89,1.32133682230462,"T","rcs"
"778",90,1.32066180839058,"T","rcs"
"779",91,1.31981933407048,"T","rcs"
"780",92,1.31991407310502,"T","rcs"
