"","ID","BirthYear","PO"
"1","00TE0089","-39",0.1
"2","0022031A","-21",0.1
"3","0022132A","-20",0.1
"4","00TB063Z","-19",0.1
"5","0023188A","-16",0.1
"6","00TB127Z","-14",0.1
"7","0022072A","-4",0.1
"8","00TE0109","4",0.1
"9","00TB119Z","6",0.1
"10","00TB091Z","26",0.1
"11","0022094A","30",0.1
"12","00TE0699","41",0.1
"13","00TE0829","46",0.1
"14","0025060A","49",0.1
"15","00TE0689","56",0.1
"16","00tb155a","60",0.1
"17","00TE0579","75",0.1
"18","0022168A","80",0.1
"19","0025089A","72",2.7
"20","00TB0119","97",0.1
"21","0022175A","100",0.1
"22","00TA0139","103",0.1
"23","00TB080Z","106",0.1
"24","00TA0179","115",0.1
"25","00TA0209","121",0.1
"26","00TB154X","127",0.1
"27","00TA0229","128",0.1
"28","00TE0959","129",0.1
"29","0022049A","132",0.1
"30","00TA0219","143",0.1
"31","00TB0019","158",0.1
"32","0022099A","159",0.1
"33","00TB040Z","162",0.1
"34","00TB147A","163",0.1
"35","00TB0059","168",0.1
"36","00TB041Z","169",0.1
"37","00TB0159","169",0.1
"38","00TB112Z","175",0.1
"39","00TB133X","181",0.1
"40","00tb145a","181",0.1
"41","00TB069Z","182",0.1
"42","00TB135X","183",0.1
"43","0022126A","185",0.1
"44","00TB0069","187",0.1
"45","00TB0139","188",0.1
"46","0022121A","191",0.1
"47","00TB161X","195",0.1
"48","00TE1049","198",0.1
"49","0022069A","198",0.1
"50","00TB134X","199",0.1
"51","00TB050Z","199",0.1
"52","00TB139X","204",0.1
"53","00TB066Z","207",0.1
"54","0022125A","207",0.1
"55","00TB060Z","208",0.1
"56","00TB081Z","211",0.1
"57","0022206A","221",0.1
"58","0022089A","223",0.1
"59","00TE0799","223",0.1
"60","00TB158X","223",0.1
"61","00TB0039","225",0.1
"62","0023203A","226",0.1
"63","00222099","230",0.1
"64","0023162A","234",0.1
"65","0023176A","241",0.1
"66","00TA0099","257",0.1
"67","00TB084Z","264",0.1
