"","id","effect","type","model"
"689",1,1.14793302690388,"T","rcs"
"690",2,1.14670046598127,"T","rcs"
"691",3,1.12529498026485,"T","rcs"
"692",4,1.10922802237571,"T","rcs"
"693",5,1.47634589740039,"T","rcs"
"694",6,1.23482774188088,"T","rcs"
"695",7,1.51954541755653,"T","rcs"
"696",8,1.27247237989387,"T","rcs"
"697",9,1.17097866561134,"T","rcs"
"698",10,1.12612687994246,"T","rcs"
"699",11,1.08131893061103,"T","rcs"
"700",12,1.09252794184238,"T","rcs"
"701",13,1.0918283665165,"T","rcs"
"702",14,1.08861731865402,"T","rcs"
"703",15,1.08504123898652,"T","rcs"
"704",16,1.07381457979734,"T","rcs"
"705",17,1.0897764937639,"T","rcs"
"706",18,1.07898859143202,"T","rcs"
"707",19,1.08929509776433,"T","rcs"
"708",20,1.08022749446085,"T","rcs"
"709",21,1.05982934567218,"T","rcs"
"710",22,1.05811811341028,"T","rcs"
"711",23,1.04032272942168,"T","rcs"
"712",24,1.04262547361592,"T","rcs"
"713",25,1.04114294292929,"T","rcs"
"714",26,1.0357274543726,"T","rcs"
"715",27,1.29462276646616,"T","rcs"
"716",28,1.13630763720124,"T","rcs"
"717",29,1.09160775380326,"T","rcs"
"718",30,1.07034430668335,"T","rcs"
"719",31,1.2845715682546,"T","rcs"
"720",32,1.13331948008081,"T","rcs"
"721",33,1.08005468382858,"T","rcs"
"722",34,1.05335414280469,"T","rcs"
"723",35,1.01570822390427,"T","rcs"
"724",36,1.02574293081021,"T","rcs"
"725",37,1.02429143894245,"T","rcs"
"726",38,1.02991451281895,"T","rcs"
"727",39,1.03793776472197,"T","rcs"
"728",40,1.01986996807628,"T","rcs"
"729",41,1.00082005186395,"T","rcs"
"730",42,1.245994316566,"T","rcs"
"731",43,1.09776379936467,"T","rcs"
"732",44,1.06101878112937,"T","rcs"
"733",45,1.02863959976744,"T","rcs"
"734",46,1.02069889945605,"T","rcs"
"735",47,1.21593803510769,"T","rcs"
"736",48,1.10916646027719,"T","rcs"
"737",49,1.07436019222015,"T","rcs"
"738",50,1.24124482507902,"T","rcs"
"739",51,1.11897335148409,"T","rcs"
"740",52,1.07219822150959,"T","rcs"
"741",53,1.06130851650837,"T","rcs"
"742",54,1.04311295394234,"T","rcs"
"743",55,1.03251114487232,"T","rcs"
"744",56,1.03658418932336,"T","rcs"
"745",57,1.21156180948218,"T","rcs"
"746",58,1.09570036875416,"T","rcs"
"747",59,1.06614286241088,"T","rcs"
"748",60,1.05415234905784,"T","rcs"
"749",61,1.20185504247837,"T","rcs"
"750",62,1.11197271794684,"T","rcs"
"751",63,1.06947556626317,"T","rcs"
"752",64,1.0582602470513,"T","rcs"
"753",65,1.03026624238754,"T","rcs"
"754",66,1.03492920690811,"T","rcs"
"755",67,1.01887032063958,"T","rcs"
"756",68,1.02303488571832,"T","rcs"
"757",69,1.01643668806279,"T","rcs"
"758",70,1.01217076658871,"T","rcs"
"759",71,1.01213559478679,"T","rcs"
"760",72,1.0201803895022,"T","rcs"
"761",73,1.02180519589621,"T","rcs"
"762",74,1.00731680378065,"T","rcs"
"763",75,0.993825835355091,"T","rcs"
"764",76,1.15754331848656,"T","rcs"
"765",77,1.06635003437758,"T","rcs"
"766",78,1.03234833758593,"T","rcs"
"767",79,1.03268915446655,"T","rcs"
"768",80,1.01062325328191,"T","rcs"
"769",81,1.18562144886056,"T","rcs"
"770",82,1.07984725081787,"T","rcs"
"771",83,1.04613602304425,"T","rcs"
"772",84,1.02949433057502,"T","rcs"
"773",85,1.02471761463572,"T","rcs"
"774",86,1.00758201289401,"T","rcs"
"775",87,1.00161148565458,"T","rcs"
"776",88,1.00907354759538,"T","rcs"
"777",89,1.01778720987353,"T","rcs"
"778",90,1.00104334969275,"T","rcs"
"779",91,1.00776518200823,"T","rcs"
"780",92,1.00298191327599,"T","rcs"
"781",93,1.01288440680086,"T","rcs"
"782",94,1.00305288905374,"T","rcs"
