id,effect,type,model
220050,1,I,RCS
220061,1,I,RCS
0022031A,1,I,RCS
220390,1,I,RCS
220480,1,I,RCS
0022049A,1,I,RCS
220500,1,I,RCS
220630,1,I,RCS
0022069A,1,I,RCS
0022072A,1,I,RCS
220730,1,I,RCS
0022076A,1,I,RCS
220810,1,I,RCS
0022089A,1,I,RCS
0022090A,1,I,RCS
0022091A,1,I,RCS
0022094A,1,I,RCS
0022099A,1,I,RCS
0022101A,1,I,RCS
0022121A,1,I,RCS
0022125A,1,I,RCS
0022126A,1,I,RCS
0022132A,1,I,RCS
221330,1,I,RCS
0022146A,1,I,RCS
221560,1,I,RCS
221600,1,I,RCS
0022162A,1,I,RCS
0022168A,1,I,RCS
221720,1,I,RCS
0022173A,1,I,RCS
0022175A,1,I,RCS
221800,1,I,RCS
221870,1,I,RCS
221960,1,I,RCS
0022198A,1,I,RCS
222040,1,I,RCS
0022206A,1,I,RCS
222089,1,I,RCS
222099,1,I,RCS
230022,1,I,RCS
230031,1,I,RCS
230052,1,I,RCS
230060,1,I,RCS
230070,1,I,RCS
230110,1,I,RCS
230120,1,I,RCS
230130,1,I,RCS
230150,1,I,RCS
230160,1,I,RCS
230180,1,I,RCS
230190,1,I,RCS
230230,1,I,RCS
230240,1,I,RCS
230250,1,I,RCS
230260,1,I,RCS
230270,1,I,RCS
230280,1,I,RCS
230290,1,I,RCS
230351,1,I,RCS
230370,1,I,RCS
230380,1,I,RCS
230392,1,I,RCS
230410,1,I,RCS
230420,1,I,RCS
230430,1,I,RCS
230440,1,I,RCS
230451,1,I,RCS
230460,1,I,RCS
230472,1,I,RCS
230490,1,I,RCS
230510,1,I,RCS
230570,1,I,RCS
230580,1,I,RCS
230590,1,I,RCS
230600,1,I,RCS
230610,1,I,RCS
230620,1,I,RCS
230630,1,I,RCS
230640,1,I,RCS
230650,1,I,RCS
230670,1,I,RCS
230680,1,I,RCS
230690,1,I,RCS
230700,1,I,RCS
230710,1,I,RCS
230720,1,I,RCS
230730,1,I,RCS
230740,1,I,RCS
230760,1,I,RCS
230770,1,I,RCS
230780,1,I,RCS
230790,1,I,RCS
230830,1,I,RCS
230840,1,I,RCS
230850,1,I,RCS
230860,1,I,RCS
230870,1,I,RCS
230880,1,I,RCS
230900,1,I,RCS
230910,1,I,RCS
230920,1,I,RCS
230940,1,I,RCS
230960,1,I,RCS
230979,1,I,RCS
231010,1,I,RCS
231020,1,I,RCS
231030,1,I,RCS
231091,1,I,RCS
231102,1,I,RCS
231132,1,I,RCS
231144,1,I,RCS
231151,1,I,RCS
231160,1,I,RCS
231170,1,I,RCS
231180,1,I,RCS
231200,1,I,RCS
231290,1,I,RCS
231300,1,I,RCS
231320,1,I,RCS
231330,1,I,RCS
231340,1,I,RCS
0023159A,1,I,RCS
231600,1,I,RCS
0023162A,1,I,RCS
231630,1,I,RCS
231730,1,I,RCS
0023176A,1,I,RCS
231780,1,I,RCS
231800,1,I,RCS
0023181A,1,I,RCS
231820,1,I,RCS
0023188A,1,I,RCS
231890,1,I,RCS
0023195A,1,I,RCS
231970,1,I,RCS
231990,1,I,RCS
232000,1,I,RCS
0023203A,1,I,RCS
240010,1,I,RCS
240020,1,I,RCS
240050,1,I,RCS
240072,1,I,RCS
240080,1,I,RCS
240091,1,I,RCS
240101,1,I,RCS
240112,1,I,RCS
240130,1,I,RCS
240140,1,I,RCS
240161,1,I,RCS
240171,1,I,RCS
240180,1,I,RCS
240190,1,I,RCS
240200,1,I,RCS
240242,1,I,RCS
240260,1,I,RCS
240280,1,I,RCS
240290,1,I,RCS
240300,1,I,RCS
240330,1,I,RCS
240340,1,I,RCS
240350,1,I,RCS
240360,1,I,RCS
240370,1,I,RCS
240380,1,I,RCS
240390,1,I,RCS
240400,1,I,RCS
240411,1,I,RCS
240412,1,I,RCS
240421,1,I,RCS
240422,1,I,RCS
240430,1,I,RCS
240470,1,I,RCS
240480,1,I,RCS
240490,1,I,RCS
240500,1,I,RCS
240510,1,I,RCS
240522,1,I,RCS
240530,1,I,RCS
240540,1,I,RCS
240560,1,I,RCS
240570,1,I,RCS
240580,1,I,RCS
240590,1,I,RCS
240610,1,I,RCS
240620,1,I,RCS
240630,1,I,RCS
240660,1,I,RCS
240670,1,I,RCS
240680,1,I,RCS
240692,1,I,RCS
240720,1,I,RCS
240739,1,I,RCS
240750,1,I,RCS
240760,1,I,RCS
240780,1,I,RCS
240790,1,I,RCS
240800,1,I,RCS
240840,1,I,RCS
240860,1,I,RCS
240870,1,I,RCS
240890,1,I,RCS
240910,1,I,RCS
240930,1,I,RCS
240940,1,I,RCS
240950,1,I,RCS
240960,1,I,RCS
240973,1,I,RCS
240981,1,I,RCS
240991,1,I,RCS
241011,1,I,RCS
241040,1,I,RCS
241050,1,I,RCS
241060,1,I,RCS
241070,1,I,RCS
241080,1,I,RCS
241093,1,I,RCS
241100,1,I,RCS
241131,1,I,RCS
241141,1,I,RCS
241161,1,I,RCS
241172,1,I,RCS
241180,1,I,RCS
0025060A,1,I,RCS
0025061A,1,I,RCS
250620,1,I,RCS
0025089A,1,I,RCS
250920,1,I,RCS
250940,1,I,RCS
260110,1,I,RCS
260130,1,I,RCS
260140,1,I,RCS
260160,1,I,RCS
260170,1,I,RCS
260181,1,I,RCS
260210,1,I,RCS
260222,1,I,RCS
260230,1,I,RCS
260240,1,I,RCS
260259,1,I,RCS
260260,1,I,RCS
260272,1,I,RCS
260290,1,I,RCS
260300,1,I,RCS
260311,1,I,RCS
260323,1,I,RCS
260330,1,I,RCS
260340,1,I,RCS
260350,1,I,RCS
260372,1,I,RCS
260380,1,I,RCS
260390,1,I,RCS
260400,1,I,RCS
260419,1,I,RCS
260430,1,I,RCS
260440,1,I,RCS
260450,1,I,RCS
260460,1,I,RCS
260470,1,I,RCS
260480,1,I,RCS
260490,1,I,RCS
260500,1,I,RCS
260510,1,I,RCS
260520,1,I,RCS
260530,1,I,RCS
260540,1,I,RCS
260551,1,I,RCS
260560,1,I,RCS
260570,1,I,RCS
260580,1,I,RCS
260590,1,I,RCS
260600,1,I,RCS
260610,1,I,RCS
260621,1,I,RCS
260630,1,I,RCS
260640,1,I,RCS
260650,1,I,RCS
260660,1,I,RCS
260670,1,I,RCS
260680,1,I,RCS
260690,1,I,RCS
260700,1,I,RCS
260710,1,I,RCS
260720,1,I,RCS
260730,1,I,RCS
260740,1,I,RCS
260750,1,I,RCS
260760,1,I,RCS
260770,1,I,RCS
260780,1,I,RCS
260790,1,I,RCS
260800,1,I,RCS
260810,1,I,RCS
260820,1,I,RCS
260830,1,I,RCS
260840,1,I,RCS
260850,1,I,RCS
260860,1,I,RCS
260870,1,I,RCS
260880,1,I,RCS
260890,1,I,RCS
260900,1,I,RCS
260911,1,I,RCS
260920,1,I,RCS
260930,1,I,RCS
260940,1,I,RCS
260950,1,I,RCS
260962,1,I,RCS
260970,1,I,RCS
260980,1,I,RCS
260990,1,I,RCS
261000,1,I,RCS
261010,1,I,RCS
261020,1,I,RCS
261030,1,I,RCS
261050,1,I,RCS
261069,1,I,RCS
261070,1,I,RCS
261082,1,I,RCS
261090,1,I,RCS
261100,1,I,RCS
261110,1,I,RCS
261120,1,I,RCS
261130,1,I,RCS
261140,1,I,RCS
261150,1,I,RCS
261160,1,I,RCS
261170,1,I,RCS
261180,1,I,RCS
261190,1,I,RCS
261200,1,I,RCS
261210,1,I,RCS
261230,1,I,RCS
261240,1,I,RCS
261250,1,I,RCS
261260,1,I,RCS
261270,1,I,RCS
261280,1,I,RCS
261291,1,I,RCS
261300,1,I,RCS
261319,1,I,RCS
261321,1,I,RCS
261322,1,I,RCS
261330,1,I,RCS
261351,1,I,RCS
261352,1,I,RCS
261362,1,I,RCS
261380,1,I,RCS
261390,1,I,RCS
261400,1,I,RCS
261410,1,I,RCS
261420,1,I,RCS
261430,1,I,RCS
261440,1,I,RCS
261450,1,I,RCS
261460,1,I,RCS
261481,1,I,RCS
261492,1,I,RCS
261500,1,I,RCS
261510,1,I,RCS
261520,1,I,RCS
261560,1,I,RCS
261570,1,I,RCS
261580,1,I,RCS
261590,1,I,RCS
261600,1,I,RCS
261610,1,I,RCS
261620,1,I,RCS
261630,1,I,RCS
261651,1,I,RCS
261652,1,I,RCS
261660,1,I,RCS
261671,1,I,RCS
261680,1,I,RCS
261709,1,I,RCS
261720,1,I,RCS
261730,1,I,RCS
261750,1,I,RCS
262002,1,I,RCS
262012,1,I,RCS
262020,1,I,RCS
00TA0099,1,I,RCS
00TA0139,1,I,RCS
00TA0179,1,I,RCS
00TA0209,1,I,RCS
00TA0219,1,I,RCS
00TA0229,1,I,RCS
00TB0019,1,I,RCS
00TB0029,1,I,RCS
00TB0039,1,I,RCS
00TB0049,1,I,RCS
00TB0059,1,I,RCS
00TB0069,1,I,RCS
00TB0089,1,I,RCS
00TB0099,1,I,RCS
00TB0109,1,I,RCS
00TB0119,1,I,RCS
00TB0129,1,I,RCS
00TB0139,1,I,RCS
00TB0149,1,I,RCS
00TB0159,1,I,RCS
00TB0169,1,I,RCS
00TB0189,1,I,RCS
00TB0199,1,I,RCS
00TB0209,1,I,RCS
00TB0219,1,I,RCS
00TB0229,1,I,RCS
00TB0239,1,I,RCS
00TB0249,1,I,RCS
00TB0269,1,I,RCS
00TB0279,1,I,RCS
00TB0289,1,I,RCS
00TB0329,1,I,RCS
00TB0339,1,I,RCS
00TB0359,1,I,RCS
00TB0369,1,I,RCS
00TB0379,1,I,RCS
00TB040Z,1,I,RCS
00TB041Z,1,I,RCS
00TB043Z,1,I,RCS
00TB045Z,1,I,RCS
00TB046Z,1,I,RCS
00TB047Z,1,I,RCS
00TB048Z,1,I,RCS
00TB049Z,1,I,RCS
00TB050Z,1,I,RCS
00TB052Z,1,I,RCS
00TB053Z,1,I,RCS
00TB055Z,1,I,RCS
00TB056Z,1,I,RCS
00TB058Z,1,I,RCS
00TB060Z,1,I,RCS
00TB062Z,1,I,RCS
00TB063Z,1,I,RCS
00TB064Z,1,I,RCS
00TB065Z,1,I,RCS
00TB066Z,1,I,RCS
00TB069Z,1,I,RCS
00TB070Z,1,I,RCS
00TB071Z,1,I,RCS
00TB073Z,1,I,RCS
00TB080Z,1,I,RCS
00TB081Z,1,I,RCS
00TB084Z,1,I,RCS
00TB085Z,1,I,RCS
00TB091Z,1,I,RCS
00TB093Z,1,I,RCS
00tb097a,1,I,RCS
00TB112Z,1,I,RCS
00TB113Z,1,I,RCS
00TB114Z,1,I,RCS
00TB116Z,1,I,RCS
00TB119Z,1,I,RCS
00TB121Z,1,I,RCS
00TB122A,1,I,RCS
00TB123Z,1,I,RCS
00TB127Z,1,I,RCS
00TB128Z,1,I,RCS
00TB130Z,1,I,RCS
00TB133X,1,I,RCS
00TB134X,1,I,RCS
00TB135X,1,I,RCS
00tb136a,1,I,RCS
00TB137A,1,I,RCS
00tb138a,1,I,RCS
00TB139X,1,I,RCS
00tb141a,1,I,RCS
00TB142X,1,I,RCS
00TB143A,1,I,RCS
00TB144X,1,I,RCS
00tb145a,1,I,RCS
00TB146X,1,I,RCS
00TB147A,1,I,RCS
00TB148X,1,I,RCS
00TB150X,1,I,RCS
00TB153X,1,I,RCS
00TB154X,1,I,RCS
00tb155a,1,I,RCS
00TB156X,1,I,RCS
00TB158X,1,I,RCS
00TB161X,1,I,RCS
00TB239X,1,I,RCS
00TD0050,1,I,RCS
00TD0060,1,I,RCS
00TD0089,1,I,RCS
00TE0039,1,I,RCS
00TE0079,1,I,RCS
00TE0089,1,I,RCS
00TE0109,1,I,RCS
00TE0199,1,I,RCS
00TE0209,1,I,RCS
00TE0219,1,I,RCS
00TE0229,1,I,RCS
00TE0239,1,I,RCS
00TE0269,1,I,RCS
00TE0279,1,I,RCS
00TE0289,1,I,RCS
00TE0309,1,I,RCS
00TE0329,1,I,RCS
00TE0359,1,I,RCS
00TE0379,1,I,RCS
00TE0449,1,I,RCS
00TE0519,1,I,RCS
00TE0579,1,I,RCS
00TE0619,1,I,RCS
00TE0689,1,I,RCS
00TE0699,1,I,RCS
00TE0719,1,I,RCS
00TE0739,1,I,RCS
00TE0769,1,I,RCS
00TE0799,1,I,RCS
00TE0809,1,I,RCS
00TE0829,1,I,RCS
00TE0859,1,I,RCS
00TE0869,1,I,RCS
00TE0939,1,I,RCS
00TE0959,1,I,RCS
00TE0989,1,I,RCS
00TE1049,1,I,RCS
00TE1059,1,I,RCS
00TN0019,1,I,RCS
00TN0029,1,I,RCS
00TN0039,1,I,RCS
00TN0049,1,I,RCS
00TN0059,1,I,RCS
00TN0069,1,I,RCS
00TN0079,1,I,RCS
00TN0089,1,I,RCS
00TN0099,1,I,RCS
00TN0109,1,I,RCS
00TN0119,1,I,RCS
00TN0129,1,I,RCS
00TN0139,1,I,RCS
00TN0149,1,I,RCS
00TN0170,1,I,RCS
00TN0189,1,I,RCS
00TN0199,1,I,RCS
00TN0209,1,I,RCS
00TN0239,1,I,RCS
00TN0249,1,I,RCS
00TN0889,1,I,RCS
00TN1069,1,I,RCS
00TN1089,1,I,RCS
00TN1099,1,I,RCS
00TN1109,1,I,RCS
00TN1149,1,I,RCS
AS31001Z,1,I,RCS
AS31003Z,1,I,RCS
AS31013Z,1,I,RCS
AS31020Z,1,I,RCS
AS31040Z,1,I,RCS
AS31041A,1,I,RCS
AS31042Z,1,I,RCS
BC00001Z,1,I,RCS
BC00002Z,1,I,RCS
BC00004Z,1,I,RCS
BC00005Z,1,I,RCS
BC00006Z,1,I,RCS
BC00007Z,1,I,RCS
BC00011Z,1,I,RCS
