"","X","id","effect","type","model"
"615",1378,-1,0.983720399153572,"T","RCS"
"616",1369,-10,0.953534186121992,"T","RCS"
"617",1279,-100,1.09794638054724,"T","RCS"
"618",1278,-101,1.09853410888569,"T","RCS"
"619",1277,-102,1.09926953352967,"T","RCS"
"620",1276,-103,1.09920210320731,"T","RCS"
"621",1275,-104,1.09901170225551,"T","RCS"
"622",1274,-105,1.10042243729208,"T","RCS"
"623",1273,-106,1.13113929686774,"T","RCS"
"624",1272,-107,1.13100499567693,"T","RCS"
"625",1271,-108,1.13013229381528,"T","RCS"
"626",1270,-109,1.12939709575606,"T","RCS"
"627",1368,-11,0.953053151080261,"T","RCS"
"628",1269,-110,1.12995841452518,"T","RCS"
"629",1268,-111,1.13020787050018,"T","RCS"
"630",1267,-112,1.13026846499871,"T","RCS"
"631",1266,-113,1.13098298866537,"T","RCS"
"632",1265,-114,1.13144172630833,"T","RCS"
"633",1264,-115,1.13114440054695,"T","RCS"
"634",1263,-116,1.13096931189546,"T","RCS"
"635",1262,-117,1.1302834393797,"T","RCS"
"636",1261,-118,1.12956548001343,"T","RCS"
"637",1260,-119,1.12872936913773,"T","RCS"
"638",1367,-12,0.953033521954115,"T","RCS"
"639",1259,-120,1.12758199792872,"T","RCS"
"640",1258,-121,1.12667798635283,"T","RCS"
"641",1257,-122,1.06604719428368,"T","RCS"
"642",1256,-123,1.06531317782885,"T","RCS"
"643",1255,-124,1.06390402606986,"T","RCS"
"644",1254,-125,1.06384579075901,"T","RCS"
"645",1253,-126,1.06374548809171,"T","RCS"
"646",1252,-127,1.06362470667484,"T","RCS"
"647",1251,-128,1.06330137074522,"T","RCS"
"648",1250,-129,1.06345759373131,"T","RCS"
"649",1366,-13,0.952282597374077,"T","RCS"
"650",1249,-130,1.06395688626809,"T","RCS"
"651",1248,-131,1.06278642409334,"T","RCS"
"652",1247,-132,1.06201490113906,"T","RCS"
"653",1246,-133,1.06198826956279,"T","RCS"
"654",1245,-134,1.06207515277288,"T","RCS"
"655",1244,-135,1.06172170293498,"T","RCS"
"656",1243,-136,1.0613100323602,"T","RCS"
"657",1242,-137,1.06092413874942,"T","RCS"
"658",1241,-138,1.06079523988804,"T","RCS"
"659",1240,-139,1.06012442067169,"T","RCS"
"660",1365,-14,0.96242722821935,"T","RCS"
