"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice","sigma_best","Rsq_best","adj.Rsq_best","wAIC_best","wAICc_best","wBIC_best"
"1",9,9,"alge001.rwl",5130,650,66.8256795246803,71489846.705653,22904428.835944,-28835.3631947939,0.67961284166339,0.633199612699001,58970.7263895878,59159.6748155758,63223.585999395,"additive","norm",TRUE,TRUE,TRUE,51136.394496863,51276.332686795,53194.6251710042,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"2",9,9,"alge001.rwl",5130,650,0.473764147216825,3080.18036525613,1151.21670420769,-3446.31043527045,0.626250229631614,0.572106568701015,8192.6208705409,8381.56929652885,12445.480480348,"multiplicative","lnorm",TRUE,TRUE,TRUE,358.288977816081,498.22716774804,2416.51965195728,1.57956318795343e-78,6.47657138011906e-109,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"3",9,9,"alge001.rwl",5130,618,86.1038837688839,71489846.705653,38025784.3656384,-30135.6493530335,0.468095315378099,0.395359235942879,61507.2987060669,61676.9027849851,65550.7867658528,"additive","norm",FALSE,TRUE,TRUE,53672.9668133421,53793.5606562043,55521.825937462,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"4",9,9,"alge001.rwl",5130,618,0.575707836719662,3080.18036525613,1699.95326351276,-4446.09965416917,0.448099441614548,0.372628997349517,10128.1993083383,10297.8033872565,14171.6873681242,"multiplicative","lnorm",FALSE,TRUE,TRUE,2293.86741561352,2414.46125847574,4142.72653973345,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"5",9,9,"alge001.rwl",5130,342,76.9119205497003,71489846.705653,30340309.827638,-29556.5049802414,0.575599735825998,0.545374069559638,59797.0099604828,59846.0201965387,62034.6684013351,"additive","norm",TRUE,FALSE,TRUE,51962.6780677579,51962.6780677579,52005.7075729444,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"6",9,9,"alge001.rwl",5130,342,0.559269721723097,3080.18036525613,1604.26206637222,-4297.49155822835,0.479166192841171,0.442072557034746,9278.98311645669,9327.99335251268,11516.6415573091,"multiplicative","lnorm",TRUE,FALSE,TRUE,1444.65122373187,1444.65122373187,1487.68072891831,1.98596975049329e-314,1.98596975049329e-314,9.88131291682493e-324,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"7",9,9,"alge001.rwl",5130,310,99.5357033255726,71489846.705653,50814830.1370927,-30879.3038442456,0.289202138783234,0.243634392078673,62378.6076884912,62418.6201392072,64406.8945793223,"additive","norm",FALSE,FALSE,TRUE,54544.2757957664,54535.2780104264,54377.9337509316,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"8",9,9,"alge001.rwl",5130,310,0.668127757428851,3080.18036525613,2289.55841756638,-5209.84946174681,0.256680406319001,0.209027760168083,11039.6989234936,11079.7113742095,13067.9858143247,"multiplicative","lnorm",FALSE,FALSE,TRUE,3205.3670307688,3196.36924542873,3039.02498593397,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"9",9,9,"alge001.rwl",5130,342,68.8813548438058,71489846.705653,24335263.9204117,-28990.7924419394,0.659598320015877,0.635355009056273,58665.5848838789,58714.5951199348,60903.2433247312,"additive","norm",TRUE,TRUE,FALSE,50831.252991154,50831.252991154,50874.2824963405,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"10",9,9,"alge001.rwl",5130,342,0.485814882678444,3080.18036525613,1210.52657808926,-3575.16594636241,0.606994904667344,0.579005193408272,7834.33189272482,7883.34212878081,10071.9903335772,"multiplicative","lnorm",TRUE,TRUE,FALSE,0,0,43.0295051864396,1,1,4.53170539831278e-10,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"11",9,9,"alge001.rwl",5130,310,109.736640261317,71489846.705653,61764085.8770517,-31379.8220849808,0.136043945773802,0.0806575514261063,63379.6441699615,63419.6566206775,65407.9310607926,"additive","norm",FALSE,TRUE,FALSE,55545.3122772367,55536.3144918966,55378.9702324019,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"12",9,9,"alge001.rwl",5130,310,0.698990957250866,3080.18036525613,2505.9696898155,-5441.51203615135,0.186421120632293,0.134264300357476,11503.0240723027,11543.0365230186,13531.3109631338,"multiplicative","lnorm",FALSE,TRUE,FALSE,3668.69217957789,3659.69439423782,3502.35013474305,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"13",9,9,"alge001.rwl",5130,34,87.13569069728,71489846.705653,38942592.0549949,-30196.7581631792,0.455271009107989,0.451743525454254,60461.5163263584,60461.9834509904,60683.973598256,"additive","norm",TRUE,FALSE,FALSE,52627.1844336335,52578.6413222096,50655.0127698652,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"14",9,9,"alge001.rwl",5130,34,0.625209065287449,3080.18036525613,2004.856219004,-4869.25177824657,0.349110772337097,0.344895830321227,9806.50355649315,9806.97068112514,10028.9608283908,"multiplicative","lnorm",TRUE,FALSE,FALSE,1972.17166376832,1923.62855234433,0,0,0,0.999999999546829,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"15",9,9,"alge001.rwl",5130,0,118.06083034544,71489846.705653,71489846.705653,-37260.96725059,0,0.000194931773879192,74521.93450118,74521.93450118,74521.93450118,"additive","norm",FALSE,FALSE,FALSE,66687.6026084552,66638.5923723992,64492.9736727892,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"16",9,9,"alge001.rwl",5130,0,0.774946506025693,3080.18036525613,3080.18036525613,-133536.402973959,0,0.000194931773879192,267072.805947918,267072.805947918,267072.805947918,"multiplicative","lnorm",FALSE,FALSE,FALSE,259238.474055193,259189.463819137,257043.845119527,0,0,0,2,1,9,2,10,10,14,0.473764147216825,0.67961284166339,0.635355009056273,1,1,0.999999999546829
"17",10,10,"alge002.rwl",6212,912,51.6552371531081,56109585.5278493,16572584.7559106,-33317.74910912,0.704638973893596,0.65387031450059,68459.49821824,68773.7673256187,74601.1234422929,"additive","norm",TRUE,TRUE,TRUE,59758.0977083522,59988.9125138582,63917.3985366302,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"18",10,10,"alge002.rwl",6212,912,0.420925099356132,3779.79362725057,1100.45218079336,-3438.70025494386,0.70885918933256,0.658815929234816,8701.40050988772,9015.66961726647,14843.0257339407,"multiplicative","lnorm",TRUE,TRUE,TRUE,0,230.814805505996,4159.30082827799,0.876888162312902,7.57184671664496e-51,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"19",10,10,"alge002.rwl",6212,873,68.6376828867333,56109585.5278493,29260837.8214032,-35083.510790853,0.478505543284046,0.393331696822852,71913.0215817059,72198.8971905482,77792.0115165724,"additive","norm",FALSE,TRUE,TRUE,63211.6210718182,63414.0423787877,67108.2866109097,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"20",10,10,"alge002.rwl",6212,873,0.589335160330417,3779.79362725057,2157.17924869362,-5529.28765460964,0.429286500421252,0.336073881647574,12804.5753092193,13090.4509180615,18683.5652440857,"multiplicative","lnorm",FALSE,TRUE,TRUE,4103.17479933156,4305.59610630107,7999.84033842307,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"21",10,10,"alge002.rwl",6212,476,57.4527322421733,56109585.5278493,20501370.9218263,-33978.5256020099,0.634619098876595,0.604361789247304,68909.0512040199,68988.2323722849,72114.5485797317,"additive","norm",TRUE,FALSE,TRUE,60207.6506941322,60203.3775605245,61430.8236740691,0,0,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
"22",10,10,"alge002.rwl",6212,476,0.47292260209841,3779.79362725057,1389.12609663162,-4162.25436383671,0.632486258874912,0.602052328080906,9276.50872767341,9355.68989593845,12482.0061033853,"multiplicative","lnorm",TRUE,FALSE,TRUE,575.108217785693,570.835084177977,1798.28119772258,1.14757602519247e-125,1.10850187580384e-124,0,2,2,2,2,2,10,14,0.420925099356132,0.70885918933256,0.658815929234816,0.876888162312902,1,1
