"","id","entries","series"
"1","alge001",5137,33
"2","alge002",6215,40
"3","alge003",5363,39
"4","keny001",938,20
"5","keny002",614,13
"6","morc001",16356,38
"7","morc002",6561,31
"8","morc003",4296,21
"9","morc011",9701,39
"10","morc012",2464,14
"11","morc013",2951,28
"12","morc014",21403,44
"13","morc015",3859,39
"14","morc016",21523,91
"15","safr001",9971,55
"16","tuni001",4990,30
"17","tuni002",1769,19
"18","tuni003",1919,25
"19","zimb001",1462,22
"20","zimb002",3103,31
"21","zimb003",1983,21
"22","bt001",10088,26
"23","bt002",14588,43
"24","bt003",6713,22
"25","bt004",6128,20
"26","bt005",3383,13
"27","bt006",5541,17
"28","bt007",4246,15
"29","bt008",19574,44
"30","bt009",6528,19
"31","bt010",6125,17
"32","bt012",7482,37
"33","bt013",2022,12
"34","bt014",10635,47
"35","bt015",4395,30
"36","bt016",5564,21
"37","bt017",6973,25
"38","bt018",5702,23
"39","bt019",3362,15
"40","bt020",3005,16
"41","chin004",12081,34
"42","chin004e",7368,34
"43","chin004l",7371,34
"44","chin004n",7422,34
"45","chin004x",7456,34
"46","chin005",82250,243
"47","chin007",4405,40
"48","chin008",7057,44
"49","chin009",12409,57
"50","chin010",8763,41
"51","chin011",9642,46
"52","chin012",8460,42
"53","chin013",5934,46
"54","chin014",9857,49
"55","chin015",6559,44
"56","chin016",8364,40
"57","chin017",11960,43
"58","chin018",10541,61
"59","chin019",15840,56
"60","chin020",14599,44
"61","chin021",12669,48
"62","chin022",8455,42
"63","chin023",7796,48
"64","chin024",10550,42
"65","chin025",8321,27
"66","chin026",21501,67
"67","chin028",9638,43
"68","chin029",17337,91
"69","chin030",7663,51
"70","chin031",5815,49
"71","chin032",5709,44
"72","chin033",11122,52
"73","chin034",14859,60
"74","chin035",16775,89
"75","chin036",7461,56
"76","indi001",1223,10
"77","indi001e",1223,10
"78","indi001l",1223,10
"79","indi001n",1223,10
"80","indi001x",1223,10
"81","indi002",2978,14
"82","indi002e",3067,13
"83","indi002l",3062,13
"84","indi002n",3067,13
"85","indi002x",3067,13
"86","indi003",2507,10
"87","indi003e",2227,11
"88","indi003l",2224,11
"89","indi003n",2227,11
