"","X","X.1","file","n","k","sigma","tss","rss","llh","Rsq","adj.Rsq","AIC","AICc","BIC","form","error","I","T","A","dAIC","dAICc","dBIC","wAIC","wAICc","wBIC","sigma_choice","Rsq_choice","adj.Rsq_choice","llh_choice","AIC_choice","AICc_choice","BIC_choice"
"1",9,9,"alge001.rwl",5137,349.115078174175,NA,3152.70559912417,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"2",9,9,"alge001.rwl",5137,317.973897079656,0.588894122889746,3152.70559912417,1781.14573503489,-4568.50018557605,0.435042163299453,0.397881773760134,9772.94816531142,9815.0506242664,11853.8407426284,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"3",10,10,"alge002.rwl",6215,483.24049156117,NA,3710.20706725893,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"4",10,10,"alge002.rwl",6215,443.675323431977,0.590212065962017,3710.20706725893,2164.64865736365,-5541.19897173292,0.416569313215483,0.371818691400516,11969.7485903298,12038.1300000439,14957.7781099791,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"5",11,11,"alge003.rwl",5363,198.490876270469,NA,4931.91962814448,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"6",11,11,"alge003.rwl",5363,161.445585830932,0.489283163199177,4931.91962814448,1283.65214994301,-3775.72045478037,0.739725655175375,0.731697310875373,7874.33208122259,7884.41797617974,8937.81916595607,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"7",2557,2557,"aust001.rwl",1359,236.045082898105,NA,770.720530440524,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"8",2557,2557,"aust001.rwl",1359,225.232384824353,0.525044939862514,770.720530440524,374.362832492563,-1052.27260641593,0.514269027868523,0.418202944478746,2555.00998248056,2644.97523020807,3729.48524735694,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"9",2558,2558,"aust002.rwl",7421,459.730783512484,NA,3321.74355843065,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"10",2558,2558,"aust002.rwl",7421,437.07073318619,0.490789652137308,3321.74355843065,1787.28866122635,-5247.62291202093,0.461942612430098,0.428346756783511,11369.3872904142,11424.2261379022,14390.4503988977,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"11",2561,2561,"aust005.rwl",1350,157.760004807166,NA,790.182832839552,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"12",2561,2561,"aust005.rwl",1350,147.737649211518,0.587597283048952,790.182832839552,465.769994945742,-1197.25385084647,0.410554145713366,0.338611529412714,2689.98300011597,2726.56809849907,3459.3799749444,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"13",2562,2562,"aust005e.rwl",1350,157.545645007114,NA,763.316698706571,NA,NA,NA,NA,NA,NA,NA,"multiplicative","lnorm",TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
"14",2562,2562,"aust005e.rwl",1350,147.52845172955,0.589717003842574,763.316698706571,469.136529093814,-1202.1151290887,0.38539726709928,0.310504196231846,2699.28716163649,2735.7627195521,3467.59466529338,"multiplicative","lnorm",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2
