"","file","folder","valid"
"1","itrdb-v702-africa-rwl","./Meta-analysis/Extracted",FALSE
"2","itrdb-v702-asia-rwl","./Meta-analysis/Extracted",FALSE
"3","itrdb-v702-australia-rwl","./Meta-analysis/Extracted",FALSE
"4","itrdb-v702-canada-rwl","./Meta-analysis/Extracted",FALSE
"5","itrdb-v702-europe-rwl","./Meta-analysis/Extracted",FALSE
"6","itrdb-v702-mexico-rwl","./Meta-analysis/Extracted",FALSE
"7","itrdb-v702-southamerica-rwl","./Meta-analysis/Extracted",FALSE
"8","itrdb-v702-usa-rwl","./Meta-analysis/Extracted",FALSE
"9","alge001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"10","alge002.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"11","alge003.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"12","keny001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"13","keny002.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"14","morc001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"15","morc002.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"16","morc003.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"17","morc011.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"18","morc012.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"19","morc013.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"20","morc014.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"21","morc015.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"22","morc016.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"23","morc017.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",FALSE
"24","safr001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"25","tuni001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"26","tuni002.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"27","tuni003.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"28","zimb001.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"29","zimb002.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"30","zimb003.rwl","./Meta-analysis/Extracted/itrdb-v702-africa-rwl",TRUE
"31","bt001.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"32","bt002.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"33","bt003.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"34","bt004.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"35","bt005.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"36","bt006.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"37","bt007.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"38","bt008.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"39","bt009.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
"40","bt010.rwl","./Meta-analysis/Extracted/itrdb-v702-asia-rwl",TRUE
